institution_id,course_id,student_id,month,year_id,is_completed,is_approved,is_book,is_verified,remarks
19,1,159,November,5,1,1,1,1,
19,1,171,November,5,1,1,1,1,
19,1,172,November,5,1,1,1,1,
19,1,175,November,5,1,1,1,1,
19,1,176,November,5,1,1,1,1,
19,1,179,November,5,1,1,1,1,
19,1,180,November,5,1,1,1,1,
19,1,182,November,5,1,1,1,1,
19,1,184,November,5,1,1,1,1,
19,1,185,November,5,1,1,1,1,
19,1,190,November,5,1,1,1,1,
19,1,191,November,5,1,1,1,1,
19,1,192,November,5,1,1,1,1,
19,1,193,November,5,1,1,1,1,
19,1,194,November,5,1,1,1,1,
19,1,195,November,5,1,1,1,1,
19,1,196,November,5,1,1,1,1,
19,1,197,November,5,1,1,1,1,
19,1,199,November,5,1,1,1,1,
19,1,200,November,5,1,1,1,1,
26,1,203,November,5,1,0,1,1,
19,1,215,November,5,1,1,1,1,
19,1,216,November,5,1,1,1,1,
19,1,221,November,5,1,1,1,1,
19,1,222,November,5,1,1,1,1,
19,1,224,November,5,1,1,1,1,
19,1,226,November,5,1,1,1,1,
19,1,228,November,5,1,1,1,1,
19,1,229,November,5,1,1,1,1,
19,1,230,November,5,1,1,1,1,
19,1,231,November,5,1,1,1,1,
19,1,232,November,5,1,1,1,1,
19,1,233,November,5,1,1,1,1,
19,1,234,November,5,1,1,1,1,
19,1,235,November,5,1,1,1,1,
19,1,236,November,5,1,1,1,1,
19,1,239,November,5,1,1,1,1,
19,1,240,November,5,1,1,1,1,
19,1,241,November,5,1,1,1,1,
19,1,242,November,5,1,1,1,1,
19,1,243,November,5,1,1,1,1,
19,1,244,November,5,1,1,1,1,
19,1,246,November,5,1,1,1,1,
19,1,247,November,5,1,1,1,1,
19,1,249,November,5,1,1,1,1,
19,1,250,November,5,1,1,1,1,
19,1,251,November,5,1,1,1,1,
19,1,253,November,5,1,1,1,1,
19,1,254,November,5,1,1,1,1,
19,1,255,November,5,1,1,1,1,
19,1,256,November,5,1,1,1,1,
19,1,257,November,5,1,1,1,1,
19,1,258,November,5,1,1,1,1,
19,1,259,November,5,1,1,1,1,
19,1,260,November,5,1,1,1,1,
19,1,261,November,5,1,1,1,1,
19,1,262,November,5,1,1,1,1,
19,1,263,November,5,1,1,1,1,
19,1,264,November,5,1,1,1,1,
19,1,265,November,5,1,1,1,1,
19,1,266,November,5,1,1,1,1,
19,1,267,November,5,1,1,1,1,
19,1,268,November,5,1,1,1,1,
19,1,269,November,5,1,1,1,1,
19,1,270,November,5,1,1,1,1,
19,1,271,November,5,1,1,1,1,
19,1,272,November,5,1,1,1,1,
19,1,273,November,5,1,1,1,1,
19,1,274,November,5,1,1,1,1,
19,1,275,November,5,1,1,1,1,
19,1,276,November,5,1,1,1,1,
19,1,277,November,5,1,1,1,1,
19,1,279,November,5,1,1,1,1,
19,1,280,November,5,1,1,1,1,
19,1,281,November,5,1,1,1,1,
19,1,282,November,5,1,1,1,1,
19,1,283,November,5,1,1,1,1,
19,1,284,November,5,1,1,1,1,
19,1,285,November,5,1,1,1,1,
19,1,286,November,5,1,1,1,1,
19,1,287,November,5,1,1,1,1,
19,1,288,November,5,1,1,1,1,
19,1,289,November,5,1,1,1,1,
19,1,290,November,5,1,1,1,1,
19,1,291,November,5,1,1,1,1,
19,1,292,November,5,1,1,1,1,
19,1,293,November,5,1,1,1,1,
19,1,295,November,5,1,1,1,1,
19,1,296,November,5,1,1,1,1,
19,1,298,November,5,1,1,1,1,
19,1,299,November,5,1,1,1,1,
19,1,300,November,5,1,1,1,1,
19,1,301,November,5,1,1,1,1,
19,1,302,November,5,1,1,1,1,
19,1,303,November,5,1,1,1,1,
19,1,304,November,5,1,1,1,1,
19,1,305,November,5,1,1,1,1,
19,1,306,November,5,1,1,1,1,
19,1,307,November,5,1,1,1,1,
19,1,308,November,5,1,1,1,1,
19,1,309,November,5,1,1,1,1,
19,1,310,November,5,1,1,1,1,
19,1,311,November,5,1,1,1,1,
19,1,312,November,5,1,1,1,1,
19,1,313,November,5,1,1,1,1,
19,1,314,November,5,1,1,1,1,
19,1,315,November,5,1,1,1,1,
